Treatment,Cage_ID,Sampling_day,Date_setup_cage,Aphid_clone,plant_height,Plant_Age,Planted_on,No_of_leaves,Position_of_cage,Climate_chamber,Aphids,Ladybird_adults,Ladybird_larvae,Total_ladybirds,Plant_survival,Aphids_orig,Total_ladybirds_orig,Plant_survival_orig,Aphids_flag,Ladybirds_flag,Survival_flag
Non-dropper,2,23,6/29/2024,1,,5,5/23/2024,61,2,W2,2500,3,57,60,1,2500,60,1,Observed,Observed,Observed
Non-dropper,2,24,6/29/2024,1,,5,5/23/2024,61,2,W2,2500,3,53,56,1,2500,56,1,Observed,Observed,Observed
Mix,3,-2,6/29/2024,1,,5,5/23/2024,61,3,W2,20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mix,3,0,6/29/2024,1,,5,5/23/2024,61,3,W2,75,3,0,3,1,75,3,1,Observed,Observed,Observed
Mix,3,1,6/29/2024,1,,5,5/23/2024,61,3,W2,23,3,0,3,1,23,3,1,Observed,Observed,Observed
Mix,3,2,6/29/2024,1,,5,5/23/2024,61,3,W2,26,3,0,3,1,26,3,1,Observed,Observed,Observed
Mix,3,3,6/29/2024,1,,5,5/23/2024,61,3,W2,31,3,0,3,1,31,3,1,Observed,Observed,Observed
Mix,3,4,6/29/2024,1,,5,5/23/2024,61,3,W2,26,3,0,3,1,26,3,1,Observed,Observed,Observed
Mix,3,5,6/29/2024,1,,5,5/23/2024,61,3,W2,20,3,0,3,1,20,3,1,Observed,Observed,Observed
Mix,3,6,6/29/2024,1,,5,5/23/2024,61,3,W2,9,3,0,3,1,9,3,1,Observed,Observed,Observed
Mix,3,7,6/29/2024,1,,5,5/23/2024,61,3,W2,16,3,0,3,1,16,3,1,Observed,Observed,Observed
Mix,3,8,6/29/2024,1,,5,5/23/2024,61,3,W2,8,3,0,3,1,8,3,1,Observed,Observed,Observed
Mix,3,9,6/29/2024,1,,5,5/23/2024,61,3,W2,19,3,0,3,1,19,3,1,Observed,Observed,Observed
Mix,3,10,6/29/2024,1,,5,5/23/2024,61,3,W2,6,3,0,3,1,6,3,1,Observed,Observed,Observed
Mix,3,11,6/29/2024,1,,5,5/23/2024,61,3,W2,5,3,0,3,1,5,3,1,Observed,Observed,Observed
Mix,3,12,6/29/2024,1,,5,5/23/2024,61,3,W2,10,3,0,3,1,10,3,1,Observed,Observed,Observed
Mix,3,13,6/29/2024,1,,5,5/23/2024,61,3,W2,26,3,0,3,1,26,3,1,Observed,Observed,Observed
Mix,3,14,6/29/2024,1,,5,5/23/2024,61,3,W2,29,3,0,3,1,29,3,1,Observed,Observed,Observed
Mix,3,15,6/29/2024,1,,5,5/23/2024,61,3,W2,30,3,0,3,1,30,3,1,Observed,Observed,Observed
Mix,3,16,6/29/2024,1,,5,5/23/2024,61,3,W2,38,3,0,3,1,38,3,1,Observed,Observed,Observed
Mix,3,17,6/29/2024,1,,5,5/23/2024,61,3,W2,34,3,0,3,1,34,3,1,Observed,Observed,Observed
Mix,3,18,6/29/2024,1,,5,5/23/2024,61,3,W2,29,3,3,6,1,29,6,1,Observed,Observed,Observed
Mix,3,19,6/29/2024,1,,5,5/23/2024,61,3,W2,21,3,3,6,1,21,6,1,Observed,Observed,Observed
Mix,3,20,6/29/2024,1,,5,5/23/2024,61,3,W2,32,3,0,3,1,32,3,1,Observed,Observed,Observed
Mix,3,21,6/29/2024,1,,5,5/23/2024,61,3,W2,25,3,0,3,1,25,3,1,Observed,Observed,Observed
Mix,3,22,6/29/2024,1,,5,5/23/2024,61,3,W2,39,3,0,3,1,39,3,1,Observed,Observed,Observed
Mix,3,23,6/29/2024,1,,5,5/23/2024,61,3,W2,43,3,0,3,1,43,3,1,Observed,Observed,Observed
Mix,3,24,6/29/2024,1,,5,5/23/2024,61,3,W2,46,2,0,2,1,46,2,1,Observed,Observed,Observed
Dropper,4,-2,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Dropper,4,0,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,282,3,0,3,1,282,3,1,Observed,Observed,Observed
Dropper,4,1,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,68,3,0,3,1,68,3,1,Observed,Observed,Observed
Dropper,4,2,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,76,3,0,3,1,76,3,1,Observed,Observed,Observed
Dropper,4,3,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,4,3,0,3,1,4,3,1,Observed,Observed,Observed
Dropper,4,4,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,7,3,0,3,1,7,3,1,Observed,Observed,Observed
Dropper,4,5,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,3,3,0,3,1,3,3,1,Observed,Observed,Observed
Dropper,4,6,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,2,3,0,3,1,2,3,1,Observed,Observed,Observed
Dropper,4,7,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,1,3,0,3,1,1,3,1,Observed,Observed,Observed
Dropper,4,8,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,1,3,0,3,1,1,3,1,Observed,Observed,Observed
Dropper,4,9,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,1,3,0,3,1,1,3,1,Observed,Observed,Observed
Dropper,4,10,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,1,3,0,3,1,1,3,1,Observed,Observed,Observed
Dropper,4,11,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,4,12,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,4,13,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,4,14,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,4,15,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,4,16,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,4,17,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,4,18,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,4,19,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,4,20,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,4,21,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,4,22,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,4,23,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,4,24,07/04/2024,1,"49,29",5,5/28/2024,49,4,W2,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Non-dropper,5,-2,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Non-dropper,5,0,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,242,3,0,3,1,242,3,1,Observed,Observed,Observed
Non-dropper,5,1,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,301,3,0,3,1,301,3,1,Observed,Observed,Observed
Non-dropper,5,2,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,276,3,0,3,1,276,3,1,Observed,Observed,Observed
Non-dropper,5,3,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,321,3,0,3,1,321,3,1,Observed,Observed,Observed
Non-dropper,5,4,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,301,3,0,3,1,301,3,1,Observed,Observed,Observed
Non-dropper,5,5,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,349,3,0,3,1,349,3,1,Observed,Observed,Observed
Non-dropper,5,6,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,312,3,0,3,1,312,3,1,Observed,Observed,Observed
Non-dropper,5,7,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,270,3,0,3,1,270,3,1,Observed,Observed,Observed
Non-dropper,5,8,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,346,3,0,3,1,346,3,1,Observed,Observed,Observed
Non-dropper,5,9,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,466,3,0,3,1,466,3,1,Observed,Observed,Observed
Non-dropper,5,10,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,609,3,0,3,1,609,3,1,Observed,Observed,Observed
Non-dropper,5,11,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,923,3,0,3,1,923,3,1,Observed,Observed,Observed
Non-dropper,5,12,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,1224,3,0,3,1,1224,3,1,Observed,Observed,Observed
Non-dropper,5,13,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,1428,3,39,42,1,1428,42,1,Observed,Observed,Observed
Non-dropper,5,14,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,1492,3,34,37,1,1492,37,1,Observed,Observed,Observed
Non-dropper,5,15,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,1280,3,31,34,1,1280,34,1,Observed,Observed,Observed
Non-dropper,5,16,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,1192,3,28,31,1,1192,31,1,Observed,Observed,Observed
Non-dropper,5,17,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,1268,3,32,35,1,1268,35,1,Observed,Observed,Observed
Non-dropper,5,18,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,2000,3,10,13,1,2000,13,1,Observed,Observed,Observed
Non-dropper,5,19,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,1986,3,41,44,1,1986,44,1,Observed,Observed,Observed
Non-dropper,5,20,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,1862,3,59,62,1,1862,62,1,Observed,Observed,Observed
Non-dropper,5,21,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,1920,3,54,57,1,1920,57,1,Observed,Observed,Observed
Non-dropper,5,22,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,1796,3,58,61,1,1796,61,1,Observed,Observed,Observed
Non-dropper,5,23,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,1830,3,57,60,1,1830,60,1,Observed,Observed,Observed
Non-dropper,5,24,07/04/2024,1,"28,48",5,5/28/2024,61,5,W2,1572,3,59,62,1,1572,62,1,Observed,Observed,Observed
Mix,6,-2,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Mix,6,0,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,186,3,0,3,1,186,3,1,Observed,Observed,Observed
Mix,6,1,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,120,3,0,3,1,120,3,1,Observed,Observed,Observed
Mix,6,2,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,192,3,0,3,1,192,3,1,Observed,Observed,Observed
Mix,6,3,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,118,3,0,3,1,118,3,1,Observed,Observed,Observed
Mix,6,4,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,136,3,0,3,1,136,3,1,Observed,Observed,Observed
Mix,6,5,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,67,3,0,3,1,67,3,1,Observed,Observed,Observed
Mix,6,6,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,78,3,0,3,1,78,3,1,Observed,Observed,Observed
Mix,6,7,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,32,3,0,3,1,32,3,1,Observed,Observed,Observed
Mix,6,8,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,52,3,0,3,1,52,3,1,Observed,Observed,Observed
Mix,6,9,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,69,3,0,3,1,69,3,1,Observed,Observed,Observed
Mix,6,10,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,64,3,0,3,1,64,3,1,Observed,Observed,Observed
Mix,6,11,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,67,3,0,3,1,67,3,1,Observed,Observed,Observed
Mix,6,12,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,82,3,0,3,1,82,3,1,Observed,Observed,Observed
Mix,6,13,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,74,3,0,3,1,74,3,1,Observed,Observed,Observed
Mix,6,14,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,69,3,15,18,1,69,18,1,Observed,Observed,Observed
Mix,6,15,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,54,3,20,23,1,54,23,1,Observed,Observed,Observed
Mix,6,16,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,62,2,22,24,1,62,24,1,Observed,Observed,Observed
Mix,6,17,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,52,2,14,16,1,52,16,1,Observed,Observed,Observed
Mix,6,18,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,90,2,7,9,1,90,9,1,Observed,Observed,Observed
Mix,6,19,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,86,2,10,12,1,86,12,1,Observed,Observed,Observed
Mix,6,20,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,127,2,9,11,1,127,11,1,Observed,Observed,Observed
Mix,6,21,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,82,2,10,12,1,82,12,1,Observed,Observed,Observed
Mix,6,22,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,78,2,8,10,1,78,10,1,Observed,Observed,Observed
Mix,6,23,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,119,2,7,9,1,119,9,1,Observed,Observed,Observed
Mix,6,24,07/04/2024,1,"40,50",5,5/28/2024,52,6,W2,87,2,7,9,1,87,9,1,Observed,Observed,Observed
Dropper,7,-2,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Dropper,7,-1,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,88,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Dropper,7,0,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,146,3,0,3,1,146,3,1,Observed,Observed,Observed
Dropper,7,1,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,79,3,0,3,1,79,3,1,Observed,Observed,Observed
Dropper,7,2,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,21,3,0,3,1,21,3,1,Observed,Observed,Observed
Dropper,7,3,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,12,3,0,3,1,12,3,1,Observed,Observed,Observed
Dropper,7,4,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,14,3,0,3,1,14,3,1,Observed,Observed,Observed
Dropper,7,5,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,9,3,0,3,1,9,3,1,Observed,Observed,Observed
Dropper,7,6,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,7,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,8,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,9,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,10,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,11,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,12,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,13,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,14,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,15,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,16,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,17,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,18,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,19,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,20,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,21,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,22,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,23,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Dropper,7,24,7/25/2024,2,"28,37",4.5,6/21/2024,50,1,W0,0,3,0,3,1,0,3,1,Observed,Observed,Observed
Non-dropper,8,-2,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Non-dropper,8,-1,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,72,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Non-dropper,8,0,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,140,3,0,3,1,140,3,1,Observed,Observed,Observed
Non-dropper,8,1,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,66,3,0,3,1,66,3,1,Observed,Observed,Observed
Non-dropper,8,2,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,14,3,0,3,1,14,3,1,Observed,Observed,Observed
Non-dropper,8,3,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,19,3,0,3,1,19,3,1,Observed,Observed,Observed
Non-dropper,8,4,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,21,3,0,3,1,21,3,1,Observed,Observed,Observed
Non-dropper,8,5,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,17,3,0,3,1,17,3,1,Observed,Observed,Observed
Non-dropper,8,6,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,13,3,0,3,1,13,3,1,Observed,Observed,Observed
Non-dropper,8,7,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,9,3,0,3,1,9,3,1,Observed,Observed,Observed
Non-dropper,8,8,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,3,3,0,3,1,3,3,1,Observed,Observed,Observed
Non-dropper,8,9,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,1,3,0,3,1,1,3,1,Observed,Observed,Observed
Non-dropper,8,10,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,1,3,0,3,1,1,3,1,Observed,Observed,Observed
Non-dropper,8,11,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,1,3,0,3,1,1,3,1,Observed,Observed,Observed
Non-dropper,8,12,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,1,3,0,3,1,1,3,1,Observed,Observed,Observed
Non-dropper,8,13,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,1,3,0,3,1,1,3,1,Observed,Observed,Observed
Non-dropper,8,14,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,1,3,0,3,1,1,3,1,Observed,Observed,Observed
Non-dropper,8,15,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,2,3,0,3,1,2,3,1,Observed,Observed,Observed
Non-dropper,8,16,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,1,3,0,3,1,1,3,1,Observed,Observed,Observed
Non-dropper,8,17,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,1,3,0,3,1,1,3,1,Observed,Observed,Observed
Non-dropper,8,18,7/25/2024,2,"42,46",4.5,6/21/2024,65,2,W0,1,3,0,3,1,1,3,1,Observed,Observed,Observed
